SRR14779971	F
SRR14779975	M
SRR14779976	F
SRR14779977	M
SRR14779979	M
SRR14779980	F
SRR14779981	F
SRR14779982	F
SRR14779983	M
SRR14779984	M
SRR14779985	F
SRR14779986	F
SRR14779987	M
SRR14779988	F
SRR14779990	M
SRR14779991	M
SRR14779992	M
SRR14779993	F
SRR14779994	F
SRR14779995	F
SRR14779996	M
SRR14779997	M
SRR14779998	M
SRR14779999	F
SRR14780002	M
SRR14780003	M
SRR14780004	M
SRR14780005	F
SRR14780006	M
SRR14780007	F
SRR14780008	M
SRR14780009	M
SRR14780010	M
SRR14780011	M
SRR14780013	F
SRR14780014	F
SRR14780015	F
SRR14780016	M
SRR14780017	M
SRR14780018	F
SRR14780019	F
SRR14780020	M
SRR14780021	F
SRR14780022	F
SRR14780024	F
SRR14780025	F
SRR14780026	F
SRR14780027	F
SRR14780028	M
SRR14780029	F
SRR14780030	M
SRR14780031	M
SRR14780032	F
SRR14780033	F
SRR14780035	M
SRR14780036	F
SRR14780037	F
SRR14780070	F
SRR14780071	F
SRR14780072	M
SRR14780073	M
SRR14780074	F
SRR14780075	M
SRR14780076	F
SRR14780077	F
SRR14780079	F
SRR14780080	M
SRR14780081	M
SRR14780082	M
SRR14780083	M
SRR14780084	M
SRR14780085	F
SRR14780086	F
SRR14780088	M
SRR14780090	M
SRR14780091	F
SRR14780092	F
SRR14780093	F
SRR14780094	M
SRR14780095	M
SRR14780096	F
SRR14780097	F
SRR14780098	F
