SRR14779885	M
SRR14779886	M
SRR14779887	M
SRR14779895	M
SRR14779917	M
SRR14779928	M
SRR14779932	M
SRR14779933	M
SRR14779934	F
SRR14779935	F
SRR14779936	M
SRR14779937	F
SRR14779938	M
SRR14779939	M
SRR14779940	F
SRR14779941	M
SRR14779942	F
SRR14779943	M
SRR14779944	M
SRR14779945	F
SRR14779946	M
SRR14779947	F
SRR14779948	M
SRR14779949	M
SRR14779950	M
SRR14779951	M
SRR14779952	F
SRR14779953	F
SRR14779954	F
SRR14779956	M
SRR14779957	M
SRR14779958	F
SRR14779959	F
SRR14779960	F
SRR14779961	F
SRR14779962	F
SRR14779963	F
SRR14779964	F
SRR14779965	M
SRR14779966	F
SRR14779967	M
SRR14779968	F
SRR14779969	F
SRR14779972	M
SRR14779973	M
SRR14779974	F
SRR14779978	F
SRR14779989	M
SRR14780000	M
SRR14780001	M
SRR14780012	M
SRR14780023	M
SRR14780034	M
SRR14780045	F
SRR14780056	M
SRR14780067	F
SRR14780078	F
SRR14780087	F
SRR14780089	F
SRR14780099	M
SRR14780100	F
SRR14780101	M
SRR14780102	F
SRR14780103	M
SRR14780104	M
SRR14780105	M
SRR14780106	M
SRR14780107	F
SRR14780108	M
SRR14780109	M
SRR14780110	F
SRR14780111	M
SRR14780112	F
SRR14780113	M
